event_name,event_location,event_content,participant,event_date,event_time
基隆潮境海灣節,碧砂漁港,望海巷潮境海灣，範圍自環保復育公園海岬至深澳岬之海域,無,2022/8/12,12:46
基隆潮藝術,正濱漁港,「潮藝術」視在地居民的智慧及生活為藝術，也讓藝術成為問題性,tttg,2022/6/13,12:00
竹子湖海芋季及繡球花季,竹子湖路1之20號,竹子湖海拔670公尺，位居大屯山、七星山與小觀音山間的谷地。曾是火山堰塞湖,C#SASaoriさおり,2022/4/21,09:31
新北市貢寮海洋音樂祭,福隆里興隆街40號,「貢寮海洋音樂祭」起始於民國99年（西元2010年），係爲豐富新北市的海洋文化性格、建立貢寮區地方特質並發展文化觀光以鼓勵本土音樂創作之精神,無,2022/8/20,03:39
新北萬里蟹,野柳漁港,本市每年訂於9月辦理萬里蟹產季起跑記者會，除宣告萬里蟹產季正式到來,CKs,2022/11/24,06:55
桃園地景藝術節,大溪河濱公園,每年移動的藝術節地景藝術節與歐洲文化首都(ECC)的移動策略概念相近，藉由「移動」的特性,Jcup,2022/9/12,04:26
桃園國際風箏節,中庄調整池景觀土丘,大溪，以大漢溪名為地名,無,2022/4/9,08:20
龍岡米干節,龍岡大操場,全國獨特文化櫥窗-異域金三角桃園龍岡地區，早年為國民政府撤退自滇緬泰的異域孤軍聚居,魆影吳,2022/4/11,12:15
桃園彩色海芋季,聖德北路與田溪路交叉口,為推廣桃園溪海的彩色海芋，讓彩色海芋與地方品牌連結更強烈,無,2022/4/14,02:29
義魄千秋-全國義民祭在新竹縣,新埔枋寮義民廟,新埔褒忠亭（義民廟）是北臺灣客家人的信仰中心，也是新竹縣的縣定古蹟,Lai Jim,2022/8/14,09:12
新竹縣客家迎天穿系列活動,新埔鎮,新埔花燈歷史最古，也最具特色及代表性,無,2022/2/13,02:09
苗栗龍系列活動,苗栗火車站西站廣場,「火旁」是客家話「炸」的意思，「火旁龍」就是在神龍舞動時燃放鞭炮,Jerrytao,2022/2/16,08:17
三義木雕藝術節系列活動,廣盛村廣聲新城88號,三義木雕藝術節系列活動，強調木雕藝術傳承的使命感。除了木藝慢活嘉年華現場活動以動態藝表演、木雕表演、木藝體驗、文創市集、慢城旅遊、茶席等系列活動,曾啟傑,2022/10/13,01:16
苗栗通霄白沙屯拱天宮媽祖民俗文化系列活動,白東里8號,苗栗縣通霄鎮拱天宮「白沙屯媽祖進香」活動為本縣一年一度民俗盛事，具有百年以上歷史,Rams,2022/6/1,11:34
臺中國際踩舞嘉年華,臺中市民廣場,「臺中國際踩舞嘉年華」藉由舞蹈表演之推廣，結合節慶活動,火龍果,2022/10/1,10:42
臺中爵士音樂節,臺中市市民廣場,臺中爵士音樂節，以自由即興的風格展現多元的音樂型式,無,2022/10/21,07:12
鹿港慶端陽系列活動,福鹿溪龍舟會場,「鹿港慶端陽系列活動」，以行銷鹿港古蹟、人文、工藝、文化、美食等在地特色為主軸,Jack,2022/5/23,11:43
二水國際跑水節,林先生廟,「二水跑水節」為全國特有的水圳節慶活動，西元1719年彰化縣因八堡圳開鑿完成,diamonddevil,2022/11/6,12:00
北港燈會,北港朝天宮,北港人在媽祖的搖籃中孕育成長，歷年元宵盛典朝天宮迎媽祖更猶如北港人的第二次過年,無,2022/2/18,09:04
南投星空季,清境農場,每年7/20至8/20左右登場的「英仙座流星雨」，是年度三大流星雨之一,徐立龍,2022/9/3,02:12
高山茶都-嘉義博茶會,中埔鄉農會金蘭分部,嘉義的茶文化產業豐富且興盛，阿里山茶葉更是為國內外所盛讚的經典茗茶,無,2022/12/13,02:26
