subject,content,copy_recipient,recipient,sender
 美國要是認真發展足球會有多強,美國的運動員應該還是以四大職業運動為優先考量 也就是說美國的足球員多數都是人家先把運動天才挑完一輪剩下的 但就算是這樣，美國依然是世界盃16強常客，如果美國認真發展足球會多強啊  -- Sent from my Google Pixel 6  ,零。。、仴仴,Lucifer,劉冠卓
 以前沒GPS長途計程車怎麼找路啊？,大家好，我是八卦優文子啦！  現在有GPS搭上車也不用怕司機亂繞路，不然多跑的錢不知道要算誰的。  不過以前沒有導航的時候，如果要司機到遠途，然後路不好找的地方，計程車司機要怎麼 找路阿？  如果繞圈圈問路的時候跳錶的錢難不成要給乘客吃下去嗎？  有沒有八卦？  -- ,謝恵琪、im31519,人不染红尘，红尘自染人,謝恵琪
 等繼承房子真的值得羨慕嗎？,如題，小弟台北觀察家啦 小弟最近一直很好奇，身邊八年級蠻多都放棄買房住家裡了，但等到能繼承父母房子時屋齡 也五六十年了吧，這種房子還能住多久呢？ 還是真的好好整修翻新又可以再戰30年 有沒有卦？  -- ,鄭孟勤,嚴威,阿舜
[新聞] 女憲兵「私密照」外流 竟是國防部站哨同,中時  林偉信  女憲兵「私密照」外流 竟是國防部站哨同袍1招解鎖她手機  林姓憲兵今年3月在國防部大樓擔任監控哨執勤人員時，趁與潘姓女憲兵換哨時，經由手 機螢幕所殘留之指紋解鎖潘的手機密碼，竊取她私密照，台北地方法院依無故取得他人電 腦相關設備之電磁紀錄罪將林男判刑4月，可易科罰金，可上訴。  林男在今年3月28日凌晨2點多在國防部大樓擔任監控哨執勤人員，換哨後竟趁潘女值勤期 間，取出潘在站哨執勤前放在置物櫃方桌上帽子下方之手機後，用檯燈照射手機螢幕反光 方式，經由手機螢幕所殘留之指紋而得知潘的手機密碼。  林男將潘的手機相簿內所儲存之個人私密照片及影片等電磁紀錄傳輸至他手機內儲存，潘 女下哨後，因發現手機的有異常顯示，報告長官處理，憲兵指揮部士林憲兵隊移請台北地 檢署偵辦。  檢方起訴後，台北地院考量林男在東窗事發後始終坦承犯行，表達悔意，雖曾希冀尋求和 解並欲取得潘女原諒但被拒，依無故取得他人電腦相關設備之電磁紀錄罪將林男判刑4月 ，可易科罰金，可上訴。  ★《中時新聞網》提醒您：根據刑法第235條規定，散布、播送或販賣猥褻之文字、圖畫 、聲音、影像或其他物品，或公然陳列，或以他法供人觀覽、聽聞者，處二年以下有期徒 刑、拘役或科或併科三萬元以下罰金。意圖散布、播送、販賣而製造、持有前項文字、圖 畫、聲音、影像及其附著物或其他物品者，亦同。   ,Weizeny、蘇兆民、高雄阿猛,L337,TURN WANG
 老婆不能娶聰明又能力強的？, 常聽到結婚好幾年的說  維持婚姻幸福的原因之一  就是老婆千萬別娶太聰明的  能力也不可以太強  最好普通學歷畢業 在公司當小職員的就好  為什麼會有這種說法？  台大畢業在頂尖企業當主管的老婆不好嗎？  有沒有八卦   -- ,hao chang、D DCCC,Kono Suba,秋山院桃
[新聞] 民進黨團推動修選罷法 納「黑、金、槍、,他這個論述裡面有很大的bug啊 如果「民進黨本來就有排黑條款」， 那北聯趙家跟東堂勇之類是這怎麼進去的？ 是要證明排黑條款無效還是怎樣？   我說民進黨就是一個詐騙黨， 看一次吐一次， 直接操三字經都不囉嗦。  也不用相信民進黨講的多好聽了， 反正內容物全是詐騙， 堪稱大福佬之恥， 整天拿台灣主體招搖撞騙， 低端秀下限， 把所有台灣人的臉都丟光了， 以後會投民進黨， 不是一樣的髒東西， 就是蠢到信蟑螂    ,,A7sHeNLe,現在呢
[新聞] 涉貪關鍵曝光！高虹安驚爆摸頭助理,三立新聞  涉貪關鍵曝光！高虹安驚爆摸頭助理「會有人搞定司法」  2022-12-06 08:07  ,Kai,羅傑恩,Rafina
 巴西足球花里胡俏的怎打能打贏韓國,我感覺巴西踢球像在跳舞  絲毫沒有韓國這種嚴肅認真的感覺  為啥能踢贏韓國  來換門將羞辱  為啥 有八卦嗎？  -- ,,大中間,是華哥不是華歌爾哦
[新聞] 快訊／高雄毒品通緝犯隨身帶「爆裂物」！, ETtoday新聞雲 > 社會   2022年12月06日 08:10  快訊／高雄毒品通緝犯隨身帶「爆裂物」！疑手榴彈　警急通知軍方  記者吳奕靖／高雄報導  ,The Hong小魯蛇的脫貧日記、凱,陈和文,黑色睡蓮
 老婆不能娶聰明又能力強的？,  其實也聽過一種說法  就是錢太多會讓生活不太幸福  有的人賺很多錢但是很不快樂  也有人中了樂透結果弄到家破人亡  所以最好只要領22k  足夠過日子就好了   雖然年薪300萬的人生勝利組錢很多  但是為了健康  還是賺少一點錢比較實際  ,A7sHeNLe、迷霧 翔、中林紫,金宇彬,YKX _
 31處男要怎麼提醒未來女友天氣冷多加件,yoyo  我高雄城5啦  今年31  八卦處男  剛剛騎機車  短褲脫鞋  真的冷爆  我突然想提醒我未來的女友多加件衣服  請問我應該怎麼提醒  雖然我相信有人正在幫我養老婆  超爽的  有夠省  有沒有八卦   -- 請支持,,_29 yoyo1103,金宇彬
 台灣人騎機車的技術在古代能到什麼程度,古代各個有霸業的文明跟名將  很多都是以騎兵為主  名將有漢光武帝的一騎當先  霸業有成吉思汗橫掃歐亞大陸壯舉  台灣素以機車為主要交通工具  很多年輕人都把機車改裝的像古代汗血寶馬  假日也常常去山區九彎十八拐進行特訓  請問這放在古代大概是哪位名將的程度呢？  ---- Sent from ,,Re Re,林資堯
