users,App,Comments,,,,
Fang Wang,Snapchat,大牛哥跟整個團隊風趣又幽默，影片會一直看下去太好笑了啦！,,,,
蘇昱清,Line,這節目太有趣了 看在地風情文化 另外是看大家互相挖洞給對方跳 哈哈哈,,,,
李James,Tencent QQ,羅大哥的北爛侄子好比木曜的陳百祥！ 節目的靈魂啊 跟羅大哥配合的天衣無縫 什麼時候該接話 吐槽 時間恰到好處！ 厲害,,,,
王俊仁,Blackberry Messenger,大牛真的是冷面笑匠，旁邊的工作人員也是笑話大王，加上來賓的幹話，真的好笑，。,,,,
Tzu yu Lin,Messenger,非常有娛樂效果的節目！後製效果也很十足，已經不是一般性的yt影片了一看就停不下來，羅大哥很會聊耶,,,,
W Wang,Viber,有夠好笑，很適合配飯看XDD還有那個魔性笑聲真的很洗腦~希望之後可以多出外景:) #國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲,,,,
吳小川,WeChat,有人覺得旁白笑聲很魔性嗎哈哈看一次就被吸引住了訂閱訂起來～大牛哥加油～,,,,
Clair Zheng,Microsoft Teams,看了好多集，笑到好開心！節目要持續拍下去喔！,,,,
甜蜜蜜,Slack,沒想到牛哥也會那麼幽默，哈哈。祝他的網路節目收視長紅，粉絲越來越多。。,,,,
習維尼,Tencent QQ,民眾比很多藝人更幽默,,,,
雯迪,Viber,你們的節目要一直做下去真的太好看,,,,
阿中老師,WhatsApp,每看一集 笑到肚子都要疼到隔天 必須支持大牛哥 拍更多好作品 祝早日百萬訂閱,,,,
RICHARD,Skype,大牛哥跟姪子真是絕配!!!! 希望節目一直做下去大紅大紫!是捧倒大紅大紫不是打到唷XD,,,,
Jax Wang,Telegram,不只羅大哥好好笑 愛開車，後製剪片也很厲害，各種特效 笑死！！,,,,
陳淨祥,Viber,我年輕人  但很愛羅大哥!!!!你太有趣了啦!!! 超級希望更多人看到你的頻道的!!!跟上潮流的藝人!!!  超屌的啦!!!!!!!#國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲!!!,,,,
賴小庭,WhatsApp,每次看，每次笑齁。。。煩內拜託頻道一定要一直做下去不然疫情呆在家沒影片可以笑的那麼開心 ,,,,
